link;id_apto;precio;cant_h;coord;hab_disponibles;id_arrendador
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/la-flora/cali/7935394;7935394;1800000;1;POINT(3.489184856414795 -76.52456665039062);1;1044276952
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-del-campo/cali/7391122;7391122;520000;2;POINT(3.4565348625183105 -76.46887969970703);2;1081250407
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/urbanizacion-nueva-granada/cali/10022218;10022218;1400000;2;POINT(3.4214081525457756 -76.54754582961556);2;1044276952
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/bellavista/cali/7859625;7859625;3300000;2;POINT(3.378000020980835 -76.54299926757812);2;1485463670
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/conjunto-residencial-turquesa/cali/10016884;10016884;1100000;3;POINT(3.368860385304821 -76.50484187832244);3;1387686089
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-jardin/cali/7933066;7933066;2120000;3;POINT(3.369494915008545 -76.53662109375);3;1548825397
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/primero-de-mayo/cali/4703780;4703780;1150000;3;POINT(3.406379461288452 -76.53290557861328);3;1494685983
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/7933778;7933778;1200000;3;POINT(3.424999952316284 -76.53299713134766);3;1491075958
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/menga/cali/7932876;7932876;2900000;2;POINT(3.4903135299682617 -76.52745819091797);2;1004770034
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-teresita/cali/7934634;7934634;3100000;2;POINT(3.4519999027252197 -76.5510025024414);2;1296923004
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-monica-popular/cali/6977251;6977251;600000;2;POINT(3.438999891281128 -76.51100158691406);2;1307074298
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/los-cristales/cali/7915228;7915228;6200000;3;POINT(3.435704231262207 -76.55290222167969);3;1081250407
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/bosques-del-limonar/cali/7961623;7961623;1500000;2;POINT(3.3730411529541016 -76.5266342163086);2;1044276952
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/bochalema/cali/7932718;7932718;1850000;3;POINT(3.4121878147125244 -76.53937530517578);3;1485463670
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/juanambu/cali/7506906;7506906;3000000;2;POINT(3.4556000232696533 -76.5385513305664);2;1387686089
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/pance/cali/7934804;7934804;4600000;3;POINT(3.350301742553711 -76.52850341796875);3;1548825397
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/urbanizacion-la-nueva-base/cali/7918540;7918540;850000;3;POINT(3.446000099182129 -76.49099731445312);3;1494685983
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/menga/cali/7932866;7932866;2900000;2;POINT(3.4903135299682617 -76.52745819091797);2;1491075958
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/7931432;7931432;1200000;3;POINT(3.4516468048095703 -76.531982421875);3;1004770034
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/versalles/cali/7382351;7382351;1820000;4;POINT(3.460980176925659 -76.52702331542969);4;1296923004
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/brisas-de-los-alamos/cali/10021013;10021013;1600000;2;POINT(3.4907977101645473 -76.50662934238133);2;1307074298
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-rodeo/cali/7191358;7191358;490000;2;POINT(3.434000015258789 -76.50599670410156);2;1081250407
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-pacifica/cali/7934390;7934390;1200000;2;POINT(3.3450000286102295 -76.51799774169922);2;1044276952
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/aguacatal/cali/7935277;7935277;1200000;3;POINT(3.4582817554473877 -76.55748748779297);3;1485463670
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/bosques-del-limonar/cali/7932182;7932182;1070000;3;POINT(3.3976798057556152 -76.53680419921875);3;1387686089
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-fe/cali/7931386;7931386;650000;3;POINT(3.440074920654297 -76.50558471679688);3;1548825397
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/los-cristales/cali/7870819;7870819;2600000;2;POINT(3.499000072479248 -76.5260009765625);2;1494685983
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/san-carlos/cali/7948919;7948919;720000;3;POINT(3.4230000972747803 -76.51200103759766);3;1491075958
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/aguacatal/cali/7932402;7932402;19000000;5;POINT(3.4570000171661377 -76.5530014038086);5;1004770034
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-caney/cali/6991276;6991276;3200000;3;POINT(3.38100004196167 -76.52300262451172);3;1296923004
